From	To	Species	Gene Name
251512_at	AT3G59190	Arabidopsis thaliana	F-box/RNI-like superfamily protein(AT3G59190)
253556_at	AT4G31100	Arabidopsis thaliana	wall-associated kinase(AT4G31100)
261019_at	AT1G26470	Arabidopsis thaliana	chromatin modification-like protein(AT1G26470)
259284_at	AT3G11450	Arabidopsis thaliana	DnaJ and Myb-like DNA-binding domain-containing protein(AT3G11450)
256264_at	AT3G12210	Arabidopsis thaliana	DNA binding protein(AT3G12210)
247022_at	AT5G67050	Arabidopsis thaliana	alpha/beta-Hydrolases superfamily protein(AT5G67050)
262426_s_at	AT1G47640	Arabidopsis thaliana	seven transmembrane domain protein(AT1G47640)
261879_at	AT1G50520	Arabidopsis thaliana	cytochrome P450, family 705, subfamily A, polypeptide 27(CYP705A27)
253694_at	AT4G29735	Arabidopsis thaliana	transmembrane protein(AT4G29735)
267612_at	AT2G26690	Arabidopsis thaliana	Major facilitator superfamily protein(AT2G26690)
259438_at	AT1G01510	Arabidopsis thaliana	NAD(P)-binding Rossmann-fold superfamily protein(AN)
256576_at	AT3G28210	Arabidopsis thaliana	zinc finger (AN1-like) family protein(PMZ)
247744_at	AT5G59020	Arabidopsis thaliana	hepatocyte growth factor activator, putative (DUF3527)(AT5G59020)
255917_at	AT5G28560	Arabidopsis thaliana	hypothetical protein(AT5G28560)
250126_at	AT5G16310	Arabidopsis thaliana	Peptidase C12, ubiquitin carboxyl-terminal hydrolase 1(UCH1)
246945_s_at	AT5G25040	Arabidopsis thaliana	Major facilitator superfamily protein(AT5G25040)
258227_at	AT3G15620	Arabidopsis thaliana	DNA photolyase family protein(UVR3)
254532_at	AT4G19660	Arabidopsis thaliana	NPR1-like protein 4(NPR4)
260032_at	AT1G68750	Arabidopsis thaliana	phosphoenolpyruvate carboxylase 4(PPC4)
266774_at	AT2G29050	Arabidopsis thaliana	RHOMBOID-like 1(RBL1)
254220_at	AT4G23780	Arabidopsis thaliana	hypothetical protein(AT4G23780)
248720_at	AT5G47750	Arabidopsis thaliana	D6 protein kinase like 2(D6PKL2)
249788_at	AT5G24330	Arabidopsis thaliana	TRITHORAX-RELATED PROTEIN 6(ATXR6)
266084_at	AT2G37810	Arabidopsis thaliana	Cysteine/Histidine-rich C1 domain family protein(AT2G37810)
260892_at	AT1G29110	Arabidopsis thaliana	Cysteine proteinases superfamily protein(AT1G29110)
251836_at	AT3G55190	Arabidopsis thaliana	alpha/beta-Hydrolases superfamily protein(AT3G55190)
260182_at	AT1G70750	Arabidopsis thaliana	myosin-binding protein (Protein of unknown function, DUF593)(AT1G70750)
257239_at	AT3G24100	Arabidopsis thaliana	Uncharacterized protein family SERF(AT3G24100)
255929_at	AT1G12650	Arabidopsis thaliana	rRNA biogenesis RRP36-like protein(AT1G12650)
264762_at	AT1G61460	Arabidopsis thaliana	G-type lectin S-receptor-like Serine/Threonine-kinase(AT1G61460)
248391_at	AT5G52030	Arabidopsis thaliana	TraB family protein(AT5G52030)
263599_at	AT2G01830	Arabidopsis thaliana	CHASE domain containing histidine kinase protein(WOL)
256905_at	AT3G23990	Arabidopsis thaliana	heat shock protein 60(HSP60)
254219_at	AT4G23760	Arabidopsis thaliana	Cox19-like CHCH family protein(AT4G23760)
248719_at	AT5G47910	Arabidopsis thaliana	respiratory burst oxidase homologue D(RBOHD)
